name,address,distance_mi,lat,lon,osm_id,ring
Los Angeles County Fire Department Station #23,No address tags,10.85434919012959,33.881828,-118.130163,297744290,0-25 miles
LB Fire Station #5,No address tags,10.989949392399671,33.8188965,-118.0870915,298293424,0-25 miles
L B Fire Station #17,No address tags,14.060600073662062,33.7979198,-118.1364392,298293943,0-25 miles
Long Beach Fire Department Station #11,"160 Market Street, Long Beach, 90805",14.85642913830705,33.8540703,-118.1923407,298297119,0-25 miles
Long Beach Fire Department Station #6,No address tags,18.564168672586394,33.7499818,-118.1901346,298305230,0-25 miles
Terminal Island Fire Station,"111 Pier S Avenue, Long Beach, 90802",20.502996672649374,33.758721,-118.2417558,298305489,0-25 miles
Long Beach Fire Station #3,No address tags,17.58320898458283,33.7817622,-118.1990839,298472149,0-25 miles
Long Beach Fire Station #4,411 Loma,15.8631270066467,33.7719399,-118.1505028,298474987,0-25 miles
Long Beach Fire Station #7,"2295 Elm Avenue, Long Beach, 90807",16.41823189558947,33.7987004,-118.188513,298480095,0-25 miles
Long Beach Fire Station #13,No address tags,17.564404949688992,33.8021663,-118.2146259,298535537,0-25 miles
Long Beach Fire Station #14,5200 Eliot Avenue,15.23130151844857,33.7695534,-118.1320212,298537270,0-25 miles
Long Beach Fire Station #15,No address tags,19.773049275389145,33.7473175,-118.2152043,298539823,0-25 miles
Unnamed Fire Station,No address tags,19.258322636227216,33.6572857,-117.8807173,362942443,0-25 miles
Long Beach Fire Station 4,No address tags,15.867054445321482,33.7719618,-118.1506222,368167656,0-25 miles
Los Angeles County Fire Department Station #12,No address tags,21.738991818746182,34.1929618,-118.158525,368167685,0-25 miles
Los Angeles County Fire Department Station #17,No address tags,6.7288179888313255,33.9824977,-118.048889,368167687,0-25 miles
Fire Station 73,"2200 West Main Street, Alhambra, 91801",15.921325714269509,34.0922228,-118.1474245,368167698,0-25 miles
Fire Station 72,"1215 South 6th Street, Alhambra, 91801",14.545444791613779,34.0788988,-118.1295146,368167699,0-25 miles
Fire Station Number 4,No address tags,15.308110814990508,34.0758435,-118.151182,368167701,0-25 miles
Los Angeles County Fire Department Station #6,No address tags,23.28711449239805,33.7918429,-118.320207,368167704,0-25 miles
