name,address,distance_mi,lat,lon,osm_id,ring
Ventura County Fire Department Summit Station,No address tags,76.24223755722322,34.4363505,-119.1351773,9670957047,75-100 miles
Julian-Cuyamaca Fire Protection District Station #56,No address tags,97.25896352980116,33.0801923,-116.6041788,9807529270,75-100 miles
Cal Fire Julian Fire Headquarters Station #50,No address tags,97.9495550440908,33.0761569,-116.592842,9807529272,75-100 miles
Unnamed Fire Station,27330 Julian Road,91.55930123346917,33.0691274,-116.7418714,10263014403,75-100 miles
Unnamed Fire Station,37370 Montezuma Valley Road,95.86827700648554,33.2106946,-116.5259609,10269132574,75-100 miles
Kern County Fire Station 18,"28381 Braeburn Drive, Stallion Springs, 93561",88.74918390332418,35.0840927,-118.6342689,11206725571,75-100 miles
Kern County Fire Station 14,"1953 Mojave-Barstow Highway, Mojave, 93501",78.15943290351089,35.0469987,-118.1668141,11206725664,75-100 miles
Kern County Fire Station 13,"21415 Reeves Street, Tehachapi, 93561",88.28542116684214,35.1316081,-118.4774568,11206730878,75-100 miles
Kern County Fire Station 16,"28946 Bear Valley Road, Bear Valley Springs, 93561",94.0838416136642,35.1658566,-118.6441185,11206734905,75-100 miles
CAL FIRE Ramona Station 86,"16310 Highway 67, Ramona, 92065",85.62208104869471,33.0083801,-116.9568953,11796828000,75-100 miles
Pacific Beach Lifeguard Station,No address tags,88.08871531985191,32.7943815,-117.2561932,12077171792,75-100 miles
Federal Fire Station 110,No address tags,94.23366943331654,32.6990548,-117.2472509,12467673313,75-100 miles
Fox Fire Center,No address tags,80.18607331955236,33.2635913,-116.8093063,13315731211,75-100 miles
Riverside County Fire Department Station 98,"69111 Hacienda Avenue, Desert Hot Springs",85.53475328821338,33.9476768,-116.4579799,13346969098,75-100 miles
