name,address,distance_mi,lat,lon,osm_id,ring
Fire Department,No address tags,64.2691753615677,34.4007254,-118.9196101,348183981,50-75 miles
Oceanside Fire Station 01,"401 North Freeman Street, Oceanside, 92054",60.247020270918206,33.1985847,-117.3803054,358844581,50-75 miles
Fire Station Number 1,No address tags,72.89417857232436,34.2013948,-119.1806942,368167726,50-75 miles
Somis Fire Station,No address tags,63.956653156702146,34.2565635,-118.995896,368167727,50-75 miles
Fire Station Number 55,"Valley Vista Drive, Camarillo, 93010",67.6118210738421,34.2448504,-119.0687364,368167729,50-75 miles
Fire Station Number 52,No address tags,63.152354618861104,34.2239792,-118.9948611,368167731,50-75 miles
CAL FIRE/Riverside County Fire Department Station #20,No address tags,57.349663369139535,33.9300075,-116.9496314,368167743,50-75 miles
Bonsall Fire Station,No address tags,61.33983303088868,33.2839228,-117.2189235,368167786,50-75 miles
Fallbrook Fire Station,No address tags,55.2468703251197,33.3833637,-117.2489243,368167788,50-75 miles
Fallbrook Fire Station Number 2,No address tags,58.5707009144825,33.345032,-117.2130898,368167790,50-75 miles
Valley Center Fire Station,No address tags,71.7302402531589,33.2355918,-117.0236408,368167794,50-75 miles
Los Angeles County Fire Department Station #72,No address tags,54.289551784169944,34.0766325,-118.8811562,368168877,50-75 miles
Quail Lake Fire Station,No address tags,71.12348597879397,34.7443598,-118.7125182,368168903,50-75 miles
Los Angeles County Fire Department Station #78,No address tags,58.24964045723963,34.6736189,-118.4308228,368168918,50-75 miles
Oxnard Fire Station,"491 South K Street, Oxnard, 93030-5236",73.46542819903541,34.1981703,-119.1920169,411828865,50-75 miles
Oxnard Fire Station 2,"531 E. Pleasant Valley Road, Oxnard, 93033-7671",71.73651807105544,34.154965,-119.1732176,411834332,50-75 miles
Oxnard Fire Department Station 3,"150 Hill Street, Oxnard, 93033-3245",72.52651832894027,34.1863869,-119.1786426,411835354,50-75 miles
Oxnard Fire Department Station 4,"230 W. Vineyard Avenue, Oxnard, 93036-2007",73.26185455818548,34.2257815,-119.1793461,411836025,50-75 miles
Ventura County FD Station 26,No address tags,72.67830137140797,34.3114815,-119.1341058,473105236,50-75 miles
Miller Station 15,"9127 West Lilac Road, Escondido, 92026",63.95873534880672,33.299306,-117.136364,596153364,50-75 miles
Unnamed Fire Station,"2309 Rainbow Valley Boulevard, Fallbrook, 92028",58.31509239072819,33.4142168,-117.1472587,596809364,50-75 miles
Cal Fire Station 73,"28234 Lilac Road, Valley Center, 92082",71.75566428816532,33.2218112,-117.0382655,597157035,50-75 miles
Encinitas FS #5,No address tags,72.68777394488117,33.0446818,-117.2686012,619046385,50-75 miles
Encinitas FS #2,No address tags,73.49821489174465,33.0267092,-117.2764471,619047096,50-75 miles
Encinitas FS #3,No address tags,70.80956440327854,33.0636735,-117.2934496,619413672,50-75 miles
Unnamed Fire Station,No address tags,72.04223065940465,34.2066491,-119.1635946,761350836,50-75 miles
San Marcos Station 2,No address tags,69.89223387253985,33.1232039,-117.2180317,797412592,50-75 miles
Vista Fire Department,No address tags,67.29068616280779,33.1551582,-117.2421069,967647129,50-75 miles
