name,address,distance_mi,lat,lon,osm_id,ring
Riverside County Fire Department Station #91,"16110 Lasselle Street, Moreno Valley, 92553",42.81846005200047,33.8880314,-117.2050034,1699217687,25-50 miles
Riverside County Fire Department Station #94,"22770 Railroad Canyon Road, Lake Elsinore, 92532",43.356937941476126,33.6637849,-117.2662107,1699244431,25-50 miles
Riverside Fire Department Station #3,No address tags,32.23264836740966,33.9510842,-117.3882621,1802505493,25-50 miles
Riverside Fire Department Station #14,No address tags,35.81960128037717,33.9554231,-117.3258473,1802518105,25-50 miles
Riverside Fire Department Station #13,No address tags,37.454798762373755,33.9332788,-117.2966648,1802520084,25-50 miles
Corona Fire Department Station #7,No address tags,25.550422857735736,33.8237437,-117.5233782,1802539224,25-50 miles
Los Angeles County Fire Department Station #37,No address tags,45.750491005165095,34.5781251,-118.113995,1840409883,25-50 miles
Station #73,No address tags,45.972179171280224,34.3875117,-118.533817,1842359721,25-50 miles
Los Angeles County Fire Department Station #79,No address tags,39.67384110647773,34.502521,-117.8969339,1842395443,25-50 miles
Los Angeles County Fire Department Station #92,No address tags,41.387921992979216,34.5287574,-117.9709589,1842426700,25-50 miles
Los Angeles County Fire Department Station #93,No address tags,44.59470574750859,34.5721218,-118.028838,1842432642,25-50 miles
Los Angeles County Fire Department Station #131,No address tags,44.06780950337084,34.5584915,-118.081297,1843362587,25-50 miles
Los Angeles County Fire Department Station #132,No address tags,44.19032428727217,34.4396188,-118.4171524,1843365030,25-50 miles
Los Angeles County Fire Department Station #136,No address tags,49.426116807116905,34.6161333,-118.194854,1843372614,25-50 miles
Murrieta Fire Department Station #5,No address tags,47.650624212731366,33.56354,-117.2473778,1846239503,25-50 miles
Riverside County Fire Department Station #101,No address tags,42.84480894634059,33.7860648,-117.2236705,2034406099,25-50 miles
Airport Fire Station,No address tags,30.019355645117983,34.200112,-118.3607923,2302675851,25-50 miles
Riverside County Fire Department station #97,No address tags,39.36483674586781,33.7009661,-117.3221181,2358171906,25-50 miles
Unnamed Fire Station,No address tags,30.430626362550655,33.5556888,-117.6708956,2935947724,25-50 miles
Camp 16,No address tags,34.658739292145974,34.2993223,-118.359996,3008743764,25-50 miles
Culver City Fire Station No. 3,No address tags,25.325915048538416,33.9860665,-118.3867119,3254606625,25-50 miles
Laguna Beach Fire Station 3,"2900 Alta Laguna Boulevard, Laguna Beach, 92651",28.87927832329516,33.5453295,-117.7534041,4192517037,25-50 miles
Fire Station 55,"945 Avalon Canyon Road, Avalon, 90704",46.82765716693017,33.3331585,-118.335662,4242074403,25-50 miles
Canyon Lake Fire Department Station 1,"28730 Vacation Drive, Canyon Lake, 92587",42.36289709538034,33.6987885,-117.266534,4951815456,25-50 miles
Riverside County Fire Department Station 7,"28349 Bradley Road, Sun City, 92586",46.25491774156738,33.7094338,-117.1891949,5880397238,25-50 miles
Station 1,"400 15th Street, Manhattan Beach, 90266",26.50756899002538,33.8878153,-118.4094611,6534399111,25-50 miles
El Segundo Fire Department,314 Main Street,26.706466841093295,33.9195651,-118.4156497,7179614734,25-50 miles
Los Angeles County Fire Station 100,No address tags,25.974245442296397,33.8642181,-118.395913,9424262877,25-50 miles
Burbank Fire Department,"311 East Orange Grove Avenue, 91502",26.968715341348933,34.1833554,-118.3083868,11637791314,25-50 miles
Burbank Fire Station 11,311 East Orange Grove Avenue,26.968743832648062,34.1836283,-118.3081067,11637821771,25-50 miles
